GameUID,NOC1,NOC2,ResultStr1,ResultStr2,LSFE,Winner,TeamID1,TeamID2
23240026_10_5,NZL,USA,4,5,0,0,30,20
23240026_11_1,NOR,EST,9,4,1,1,17,37
23240026_11_2,ITA,DEN,9,4,0,1,24,11
23240026_11_3,SUI,ESP,8,1,1,1,18,34
23240026_11_4,FRA,TUR,4,7,0,0,13,51
23240026_11_5,JPN,GER,7,5,0,1,16,15
23240026_12_1,KOR,USA,7,5,1,1,44,20
23240026_12_2,NED,SCO,5,7,0,0,25,14
23240026_12_3,NZL,CHN,4,8,1,0,30,43
23240026_12_4,CAN,SWE,5,6,0,0,10,19
23240026_12_5,AUS,CZE,7,6,1,1,46,22
23240026_13_1,ESP,FRA,10,6,0,1,34,13
23240026_13_2,JPN,TUR,7,5,0,1,16,51
23240026_13_3,EST,GER,10,2,1,1,37,15
23240026_13_4,NOR,ITA,7,4,0,1,17,24
23240026_13_5,DEN,SUI,9,4,0,1,11,18
23240026_14_1,CHN,CAN,4,10,0,0,43,10
23240026_14_2,AUS,SWE,6,7,0,0,46,19
23240026_14_3,USA,CZE,4,7,1,0,20,22
23240026_14_4,KOR,NED,7,6,0,1,44,25
23240026_14_5,SCO,NZL,9,3,1,1,14,30
23240026_15_1,GER,TUR,8,5,1,1,15,51
23240026_15_2,SUI,NOR,5,6,1,0,18,17
23240026_15_3,FRA,JPN,8,7,0,1,13,16
23240026_15_4,DEN,ESP,10,7,0,1,11,34
23240026_15_5,EST,ITA,8,6,1,1,37,24
23240026_16_1,CZE,SWE,4,7,1,0,22,19
23240026_16_2,NZL,KOR,8,5,1,1,30,44
23240026_16_3,CAN,AUS,11,4,1,1,10,46
23240026_16_4,SCO,CHN,6,4,1,1,14,43
23240026_16_5,USA,NED,10,0,1,1,20,25
23240026_17_1,SUI,JPN,7,8,1,0,18,16
23240026_17_2,FRA,EST,3,8,0,0,13,37
23240026_17_3,ESP,NOR,3,9,0,0,34,17
23240026_17_4,ITA,GER,8,6,0,1,24,15
23240026_17_5,TUR,DEN,7,5,1,1,51,11
23240026_18_1,NZL,AUS,2,7,1,0,30,46
23240026_18_2,CAN,USA,12,6,0,1,10,20
23240026_18_3,CHN,KOR,5,7,1,0,43,44
23240026_18_4,NED,CZE,7,1,1,1,25,22
23240026_18_5,SWE,SCO,4,8,1,0,19,14
23240026_41_1,EST,CAN,6,5,0,1,37,10
23240026_41_2,SUI,SCO,8,6,1,1,18,14
23240026_45_1,CZE,TUR,8,4,0,1,22,51
23240026_45_2,AUS,FRA,7,5,0,1,46,13
23240026_46_1,NOR,EST,6,8,1,0,17,37
23240026_46_2,SUI,SWE,3,6,0,0,18,19
23240026_48_1,NOR,SUI,6,5,1,1,17,18
23240026_49_1,EST,SWE,4,8,0,0,37,19
24250026_1_1,CAN,GER,10,5,1,1,10,15
24250026_1_2,CHN,KOR,7,4,1,1,43,44
24250026_1_3,SCO,NED,10,3,0,1,14,25
24250026_1_4,FIN,ITA,3,10,0,0,12,24
24250026_1_5,DEN,SWE,4,5,1,0,11,19
24250026_2_1,ESP,JPN,1,9,0,0,34,16
24250026_2_2,AUS,SUI,7,3,0,1,46,18
24250026_2_3,USA,TUR,11,3,1,1,20,51
24250026_2_4,CZE,NOR,8,9,1,0,22,17
24250026_2_5,NZL,EST,4,8,0,0,30,37
24250026_3_1,KOR,FIN,6,8,0,0,44,12
24250026_3_2,GER,ITA,3,10,0,0,15,24
24250026_3_3,DEN,CAN,4,6,1,0,11,10
24250026_3_4,SWE,NED,9,4,1,1,19,25
24250026_3_5,CHN,SCO,5,8,0,0,43,14
24250026_4_1,SUI,CZE,6,7,1,0,18,22
24250026_4_2,JPN,NOR,5,8,1,0,16,17
24250026_4_3,NZL,ESP,13,5,0,1,30,34
24250026_4_4,EST,TUR,9,2,1,1,37,51
24250026_4_5,AUS,USA,10,7,1,1,46,20
24250026_5_1,NED,CHN,3,5,0,0,25,43
24250026_5_2,CAN,SWE,8,6,0,1,10,19
24250026_5_3,GER,FIN,6,12,1,0,15,12
24250026_5_4,SCO,DEN,7,3,1,1,14,11
24250026_5_5,KOR,ITA,4,9,0,0,44,24
24250026_6_1,TUR,AUS,2,10,0,0,51,46
24250026_6_2,ESP,EST,5,6,0,0,34,37
24250026_6_3,JPN,CZE,7,6,1,1,16,22
24250026_6_4,USA,NZL,10,2,1,1,20,30
24250026_6_5,SUI,NOR,8,3,0,1,18,17
24250026_7_1,ITA,DEN,8,5,1,1,24,11
24250026_7_2,SCO,FIN,9,2,1,1,14,12
24250026_7_3,SWE,KOR,9,6,0,1,19,44
24250026_7_4,NED,CAN,3,7,1,0,25,10
24250026_7_5,GER,CHN,7,6,1,1,15,43
24250026_8_1,NOR,NZL,10,6,0,1,17,30
24250026_8_2,USA,CZE,6,3,1,1,20,22
24250026_8_3,EST,SUI,4,6,1,0,37,18
24250026_8_4,TUR,ESP,8,6,1,1,51,34
24250026_8_5,JPN,AUS,7,4,0,1,16,46
24250026_9_1,SCO,KOR,7,10,0,0,14,44
24250026_9_2,DEN,GER,1,7,1,0,11,15
24250026_9_3,CAN,ITA,5,7,0,0,10,24
24250026_9_4,CHN,SWE,5,10,0,0,43,19
24250026_9_5,FIN,NED,6,3,0,1,12,25
24250026_10_1,USA,SUI,9,5,0,1,20,18
24250026_10_2,NZL,JPN,6,3,1,1,30,16
24250026_10_3,ESP,NOR,2,10,0,0,34,17
24250026_10_4,AUS,EST,7,4,1,1,46,37
24250026_10_5,CZE,TUR,8,3,1,1,22,51
24250026_11_1,DEN,NED,7,5,1,1,11,25
24250026_11_2,KOR,CAN,6,11,0,0,44,10
24250026_11_3,FIN,CHN,9,7,1,1,12,43
24250026_11_4,ITA,SCO,7,4,1,1,24,14
24250026_11_5,SWE,GER,8,6,0,1,19,15
24250026_12_1,NZL,TUR,8,5,0,1,30,51
24250026_12_2,SUI,ESP,10,1,1,1,18,34
24250026_12_3,CZE,AUS,2,7,1,0,22,46
24250026_12_4,NOR,USA,3,9,0,0,17,20
24250026_12_5,EST,JPN,10,8,1,1,37,16
24250026_13_1,CHN,ITA,2,8,0,0,43,24
24250026_13_2,SWE,SCO,6,7,1,0,19,14
24250026_13_3,NED,GER,7,5,1,1,25,15
24250026_13_4,DEN,KOR,4,6,1,0,11,44
24250026_13_5,CAN,FIN,13,2,1,1,10,12
24250026_14_1,AUS,NOR,8,7,1,1,46,17
24250026_14_2,EST,USA,7,6,1,1,37,20
24250026_14_3,TUR,JPN,3,9,0,0,51,16
24250026_14_4,NZL,SUI,8,7,0,1,30,18
24250026_14_5,ESP,CZE,2,6,1,0,34,22
24250026_15_1,GER,SCO,1,7,0,0,15,14
24250026_15_2,FIN,DEN,10,3,0,1,12,11
24250026_15_3,ITA,SWE,6,4,0,1,24,19
24250026_15_4,CAN,CHN,9,4,1,1,10,43
24250026_15_5,NED,KOR,5,9,0,0,25,44
24250026_16_1,JPN,USA,8,6,0,1,16,20
24250026_16_2,CZE,NZL,5,7,0,0,22,30
24250026_16_3,NOR,EST,10,9,1,1,17,37
24250026_16_4,ESP,AUS,3,8,0,0,34,46
24250026_16_5,TUR,SUI,3,9,1,0,51,18
24250026_17_1,FIN,SWE,3,7,0,0,12,19
24250026_17_2,ITA,NED,8,5,0,1,24,25
24250026_17_3,CHN,DEN,5,6,0,0,43,11
24250026_17_4,KOR,GER,8,4,1,1,44,15
24250026_17_5,SCO,CAN,8,7,1,1,14,10
24250026_18_1,CZE,EST,5,6,1,0,22,37
24250026_18_2,NOR,TUR,7,4,1,1,17,51
24250026_18_3,AUS,NZL,7,5,0,1,46,30
24250026_18_4,SUI,JPN,7,6,1,1,18,16
24250026_18_5,USA,ESP,10,2,0,1,20,34
24250026_41_1,EST,CAN,7,5,1,1,37,10
24250026_41_2,USA,SCO,5,7,0,0,20,14
24250026_45_1,DEN,TUR,9,0,0,1,11,51
24250026_45_2,CZE,CHN,7,5,1,1,22,43
24250026_46_1,ITA,EST,7,6,1,1,24,37
24250026_46_2,AUS,SCO,6,9,1,0,46,14
24250026_46_3,CAN,USA,4,8,1,0,10,20
24250026_48_1,AUS,EST,9,2,1,1,46,37
24250026_49_1,SCO,ITA,4,9,0,0,14,24
