EndUID,Has_Hammer,PowerPlayBool,EndID,PrevScoreDiff,PrevEndDiff,Result
0_11_1_17_8,0,0.0,8,4.0,1.0,0
0_11_1_19_1,0,0.0,1,0.0,0.0,0
0_11_1_19_2,1,0.0,2,-2.0,-2.0,1
0_11_1_19_3,0,0.0,3,-1.0,1.0,0
0_11_1_19_4,1,0.0,4,-2.0,-1.0,1
0_11_1_19_5,0,0.0,5,-1.0,1.0,0
0_11_1_19_6,1,1.0,6,-2.0,-1.0,0
0_11_1_19_7,1,0.0,7,-3.0,-1.0,0
0_11_1_19_8,1,0.0,8,-4.0,-1.0,0
0_11_2_18_1,0,0.0,1,0.0,0.0,0
0_11_2_18_2,1,0.0,2,-2.0,-2.0,0
0_11_2_18_3,1,0.0,3,-3.0,-1.0,1
0_11_2_18_4,0,0.0,4,-2.0,1.0,3
0_11_2_18_5,0,0.0,5,1.0,3.0,2
0_11_2_18_6,0,0.0,6,3.0,2.0,0
0_11_2_18_7,1,1.0,7,0.0,-3.0,0
0_11_2_18_8,1,0.0,8,-2.0,-2.0,0
0_11_2_46_1,1,0.0,1,0.0,0.0,2
0_11_2_46_2,0,0.0,2,2.0,2.0,1
0_11_2_46_3,0,0.0,3,3.0,1.0,0
0_11_2_46_4,1,0.0,4,2.0,-1.0,0
0_11_2_46_5,1,0.0,5,-1.0,-3.0,0
0_11_2_46_6,1,1.0,6,-3.0,-2.0,3
0_11_2_46_7,0,0.0,7,0.0,3.0,2
0_11_2_46_8,0,0.0,8,2.0,2.0,1
0_11_3_24_1,0,0.0,1,0.0,0.0,3
0_11_3_24_2,0,0.0,2,3.0,3.0,1
0_11_3_24_3,0,0.0,3,4.0,1.0,0
0_11_3_24_4,1,0.0,4,3.0,-1.0,1
0_11_3_24_5,0,0.0,5,4.0,1.0,0
0_11_3_24_6,1,0.0,6,1.0,-3.0,1
0_11_3_24_7,0,0.0,7,2.0,1.0,1
0_11_3_24_8,0,0.0,8,3.0,1.0,1
0_11_3_43_1,1,0.0,1,0.0,0.0,0
0_11_3_43_2,1,0.0,2,-3.0,-3.0,0
0_11_3_43_3,1,0.0,3,-4.0,-1.0,1
0_11_3_43_4,0,0.0,4,-3.0,1.0,0
0_11_3_43_5,1,1.0,5,-4.0,-1.0,3
0_11_3_43_6,0,0.0,6,-1.0,3.0,0
0_11_3_43_7,1,0.0,7,-2.0,-1.0,0
0_11_3_43_8,1,0.0,8,-3.0,-1.0,0
0_11_4_10_1,0,0.0,1,0.0,0.0,0
0_11_4_10_2,1,0.0,2,-1.0,-1.0,1
0_11_4_10_3,0,0.0,3,0.0,1.0,0
0_11_4_10_4,1,0.0,4,-1.0,-1.0,1
0_11_4_10_5,0,0.0,5,0.0,1.0,1
0_11_4_10_6,0,0.0,6,1.0,1.0,0
0_11_4_10_7,1,1.0,7,-1.0,-2.0,0
0_11_4_10_8,1,0.0,8,-2.0,-1.0,2
0_11_4_10_9,0,0.0,9,0.0,2.0,2
0_11_4_22_1,1,0.0,1,0.0,0.0,1
0_11_4_22_2,0,0.0,2,1.0,1.0,0
0_11_4_22_3,1,0.0,3,0.0,-1.0,1
0_11_4_22_4,0,0.0,4,1.0,1.0,0
0_11_4_22_5,1,0.0,5,0.0,-1.0,0
0_11_4_22_6,1,1.0,6,-1.0,-1.0,2
0_11_4_22_7,0,0.0,7,1.0,2.0,1
0_11_4_22_8,0,0.0,8,2.0,1.0,0
0_11_4_22_9,1,0.0,9,0.0,-2.0,0
0_12_1_10_1,0,0.0,1,0.0,0.0,0
0_12_1_10_2,1,0.0,2,-3.0,-3.0,0
0_12_1_10_3,1,1.0,3,-5.0,-2.0,0
0_12_1_10_4,1,0.0,4,-6.0,-1.0,0
0_12_1_10_5,1,0.0,5,-7.0,-1.0,4
0_12_1_10_6,0,0.0,6,-3.0,4.0,0
0_12_1_10_7,1,0.0,7,-4.0,-1.0,3
0_12_1_10_8,0,0.0,8,-1.0,3.0,1
0_12_1_10_9,0,0.0,9,0.0,1.0,0
0_12_1_46_1,1,0.0,1,0.0,0.0,3
0_12_1_46_2,0,0.0,2,3.0,3.0,2
0_12_1_46_3,0,0.0,3,5.0,2.0,1
0_12_1_46_4,0,0.0,4,6.0,1.0,1
0_12_1_46_5,0,0.0,5,7.0,1.0,0
0_12_1_46_6,1,0.0,6,3.0,-4.0,1
0_12_1_46_7,0,0.0,7,4.0,1.0,0
0_12_1_46_8,1,1.0,8,1.0,-3.0,0
0_12_1_46_9,1,0.0,9,0.0,-1.0,2
0_12_2_19_1,1,0.0,1,0.0,0.0,2
0_12_2_19_2,0,0.0,2,2.0,2.0,0
0_12_2_19_3,1,0.0,3,1.0,-1.0,0
0_12_2_19_4,1,0.0,4,0.0,-1.0,0
0_12_2_19_5,1,0.0,5,-1.0,-1.0,3
0_12_2_19_6,0,0.0,6,2.0,3.0,0
0_12_2_19_7,1,1.0,7,-3.0,-5.0,3
0_12_2_19_8,0,0.0,8,0.0,3.0,0
0_12_2_24_1,0,0.0,1,0.0,0.0,0
0_12_2_24_2,1,0.0,2,-2.0,-2.0,1
0_12_2_24_3,0,0.0,3,-1.0,1.0,1
0_12_2_24_4,0,0.0,4,0.0,1.0,1
0_12_2_24_5,0,0.0,5,1.0,1.0,0
0_12_2_24_6,1,1.0,6,-2.0,-3.0,5
0_12_2_24_7,0,0.0,7,3.0,5.0,0
0_12_2_24_8,1,0.0,8,0.0,-3.0,4
0_12_3_18_1,1,0.0,1,0.0,0.0,3
0_12_3_18_2,0,0.0,2,3.0,3.0,0
0_12_3_18_3,1,0.0,3,2.0,-1.0,0
0_12_3_18_4,1,0.0,4,1.0,-1.0,1
0_12_3_18_5,0,0.0,5,2.0,1.0,0
0_12_3_18_6,1,0.0,6,1.0,-1.0,1
0_12_3_18_7,0,0.0,7,2.0,1.0,0
0_12_3_18_8,1,1.0,8,0.0,-2.0,1
0_12_3_20_1,0,0.0,1,0.0,0.0,0
0_12_3_20_2,1,0.0,2,-3.0,-3.0,1
0_12_3_20_3,0,0.0,3,-2.0,1.0,1
0_12_3_20_4,0,0.0,4,-1.0,1.0,0
0_12_3_20_5,1,0.0,5,-2.0,-1.0,1
0_12_3_20_6,0,0.0,6,-1.0,1.0,0
0_12_3_20_7,1,1.0,7,-2.0,-1.0,2
0_12_3_20_8,0,0.0,8,0.0,2.0,0
0_12_4_17_1,0,0.0,1,0.0,0.0,1
0_12_4_17_2,0,0.0,2,1.0,1.0,1
0_12_4_17_3,0,0.0,3,2.0,1.0,0
0_12_4_17_4,1,0.0,4,1.0,-1.0,1
0_12_4_17_5,0,0.0,5,2.0,1.0,1
0_12_4_17_6,0,0.0,6,3.0,1.0,0
0_12_4_17_7,1,1.0,7,2.0,-1.0,2
0_12_4_17_8,0,0.0,8,4.0,2.0,0
0_12_4_27_1,1,0.0,1,0.0,0.0,0
0_12_4_27_2,1,0.0,2,-1.0,-1.0,0
0_12_4_27_3,1,0.0,3,-2.0,-1.0,1
0_12_4_27_4,0,0.0,4,-1.0,1.0,0
0_12_4_27_5,1,0.0,5,-2.0,-1.0,0
0_12_4_27_6,1,1.0,6,-3.0,-1.0,1
0_12_4_27_7,0,0.0,7,-2.0,1.0,0
0_12_4_27_8,1,0.0,8,-4.0,-2.0,0
0_13_1_17_1,0,0.0,1,0.0,0.0,1
0_13_1_17_2,0,0.0,2,1.0,1.0,1
0_13_1_17_3,0,0.0,3,2.0,1.0,0
0_13_1_17_4,1,0.0,4,1.0,-1.0,1
0_13_1_17_5,0,0.0,5,2.0,1.0,0
0_13_1_17_6,1,1.0,6,0.0,-2.0,2
0_13_1_17_7,0,0.0,7,2.0,2.0,0
0_13_1_17_8,1,0.0,8,0.0,-2.0,1
0_13_1_18_1,1,0.0,1,0.0,0.0,0
0_13_1_18_2,1,0.0,2,-1.0,-1.0,0
0_13_1_18_3,1,0.0,3,-2.0,-1.0,1
0_13_1_18_4,0,0.0,4,-1.0,1.0,0
0_13_1_18_5,1,0.0,5,-2.0,-1.0,2
0_13_1_18_6,0,0.0,6,0.0,2.0,0
0_13_1_18_7,1,1.0,7,-2.0,-2.0,2
0_13_1_18_8,0,0.0,8,0.0,2.0,0
0_13_2_10_1,0,0.0,1,0.0,0.0,0
0_13_2_10_2,1,0.0,2,-1.0,-1.0,2
0_13_2_10_3,0,0.0,3,1.0,2.0,0
0_13_2_10_4,1,0.0,4,0.0,-1.0,0
0_13_2_10_5,1,0.0,5,-2.0,-2.0,2
0_13_2_10_6,0,0.0,6,0.0,2.0,0
0_13_2_10_7,1,1.0,7,-1.0,-1.0,3
0_13_2_10_8,0,0.0,8,2.0,3.0,0
0_13_2_10_9,1,0.0,9,0.0,-2.0,0
0_13_2_24_1,1,0.0,1,0.0,0.0,1
0_13_2_24_2,0,0.0,2,1.0,1.0,0
0_13_2_24_3,1,0.0,3,-1.0,-2.0,1
0_13_2_24_4,0,0.0,4,0.0,1.0,2
0_13_2_24_5,0,0.0,5,2.0,2.0,0
0_13_2_24_6,1,0.0,6,0.0,-2.0,1
0_13_2_24_7,0,0.0,7,1.0,1.0,0
0_13_2_24_8,1,1.0,8,-2.0,-3.0,2
0_13_2_24_9,0,0.0,9,0.0,2.0,1
0_13_3_20_1,1,0.0,1,0.0,0.0,0
0_13_3_20_2,1,0.0,2,-3.0,-3.0,1
0_13_3_20_3,0,0.0,3,-2.0,1.0,0
0_13_3_20_4,1,0.0,4,-3.0,-1.0,0
0_13_3_20_5,1,1.0,5,-4.0,-1.0,2
0_13_3_20_6,0,0.0,6,-2.0,2.0,1
0_13_3_20_7,0,0.0,7,-1.0,1.0,0
0_13_3_20_8,1,0.0,8,-2.0,-1.0,0
0_13_3_27_1,0,0.0,1,0.0,0.0,3
0_13_3_27_2,0,0.0,2,3.0,3.0,0
0_13_3_27_3,1,0.0,3,2.0,-1.0,1
0_13_3_27_4,0,0.0,4,3.0,1.0,1
0_13_3_27_5,0,0.0,5,4.0,1.0,0
0_13_3_27_6,1,0.0,6,2.0,-2.0,0
0_13_3_27_7,1,1.0,7,1.0,-1.0,1
0_13_3_27_8,0,0.0,8,2.0,1.0,2
0_13_4_22_1,0,0.0,1,0.0,0.0,0
0_13_4_22_2,1,0.0,2,-1.0,-1.0,1
0_13_4_22_3,0,0.0,3,0.0,1.0,0
0_13_4_22_4,1,0.0,4,-3.0,-3.0,0
0_13_4_22_5,1,1.0,5,-4.0,-1.0,0
0_13_4_22_6,1,0.0,6,-5.0,-1.0,4
0_13_4_22_7,0,0.0,7,-1.0,4.0,1
0_13_4_22_8,0,0.0,8,0.0,1.0,2
0_13_4_43_1,1,0.0,1,0.0,0.0,1
0_13_4_43_2,0,0.0,2,1.0,1.0,0
0_13_4_43_3,1,0.0,3,0.0,-1.0,3
0_13_4_43_4,0,0.0,4,3.0,3.0,1
0_13_4_43_5,0,0.0,5,4.0,1.0,1
0_13_4_43_6,0,0.0,6,5.0,1.0,0
0_13_4_43_7,1,1.0,7,1.0,-4.0,0
0_13_4_43_8,1,0.0,8,0.0,-1.0,0
0_1_1_19_1,0,0.0,1,0.0,0.0,0
0_1_1_19_2,1,0.0,2,-1.0,-1.0,2
0_1_1_19_3,0,0.0,3,1.0,2.0,0
0_1_1_19_4,1,0.0,4,-2.0,-3.0,1
0_1_1_19_5,0,0.0,5,-1.0,1.0,2
0_1_1_19_6,0,0.0,6,1.0,2.0,0
0_1_1_19_7,1,1.0,7,0.0,-1.0,0
0_1_1_19_8,1,0.0,8,-3.0,-3.0,0
0_1_1_27_1,1,0.0,1,0.0,0.0,1
0_1_1_27_2,0,0.0,2,1.0,1.0,0
0_1_1_27_3,1,0.0,3,-1.0,-2.0,3
0_1_1_27_4,0,0.0,4,2.0,3.0,0
0_1_1_27_5,1,0.0,5,1.0,-1.0,0
0_1_1_27_6,1,1.0,6,-1.0,-2.0,1
0_1_1_27_7,0,0.0,7,0.0,1.0,3
0_1_1_27_8,0,0.0,8,3.0,3.0,1
0_1_2_20_1,0,0.0,1,0.0,0.0,0
0_1_2_20_2,1,0.0,2,-1.0,-1.0,1
0_1_2_20_3,0,0.0,3,0.0,1.0,0
0_1_2_20_4,1,0.0,4,-1.0,-1.0,1
0_1_2_20_5,0,0.0,5,0.0,1.0,1
0_1_2_20_6,0,0.0,6,1.0,1.0,0
0_1_2_20_7,1,1.0,7,-2.0,-3.0,2
0_1_2_20_8,0,0.0,8,0.0,2.0,1
0_1_2_46_1,1,0.0,1,0.0,0.0,1
0_1_2_46_2,0,0.0,2,1.0,1.0,0
0_1_2_46_3,1,0.0,3,0.0,-1.0,1
0_1_2_46_4,0,0.0,4,1.0,1.0,0
0_1_2_46_5,1,0.0,5,0.0,-1.0,0
0_1_2_46_6,1,1.0,6,-1.0,-1.0,3
0_1_2_46_7,0,0.0,7,2.0,3.0,0
0_1_2_46_8,1,0.0,8,0.0,-2.0,0
0_1_3_17_1,0,0.0,1,0.0,0.0,1
0_1_3_17_2,0,0.0,2,1.0,1.0,1
0_1_3_17_3,0,0.0,3,2.0,1.0,0
0_1_3_17_4,1,0.0,4,0.0,-2.0,1
0_1_3_17_5,0,0.0,5,1.0,1.0,0
0_1_3_17_6,1,1.0,6,0.0,-1.0,2
0_1_3_17_7,0,0.0,7,2.0,2.0,1
0_1_3_17_8,0,0.0,8,3.0,1.0,0
0_1_3_17_9,1,0.0,9,0.0,-3.0,0
0_1_3_22_1,1,0.0,1,0.0,0.0,0
0_1_3_22_2,1,0.0,2,-1.0,-1.0,0
0_1_3_22_3,1,0.0,3,-2.0,-1.0,2
0_1_3_22_4,0,0.0,4,0.0,2.0,0
0_1_3_22_5,1,0.0,5,-1.0,-1.0,1
0_1_3_22_6,0,0.0,6,0.0,1.0,0
0_1_3_22_7,1,1.0,7,-2.0,-2.0,0
0_1_3_22_8,1,0.0,8,-3.0,-1.0,3
0_1_3_22_9,0,0.0,9,0.0,3.0,1
0_1_4_18_1,0,0.0,1,0.0,0.0,0
0_1_4_18_2,1,0.0,2,-1.0,-1.0,0
0_1_4_18_3,1,0.0,3,-2.0,-1.0,0
0_1_4_18_4,1,0.0,4,-3.0,-1.0,2
0_1_4_18_5,0,0.0,5,-1.0,2.0,0
0_1_4_18_6,1,1.0,6,-2.0,-1.0,3
0_1_4_18_7,0,0.0,7,1.0,3.0,0
0_1_4_18_8,1,0.0,8,-1.0,-2.0,1
0_1_4_18_9,0,0.0,9,0.0,1.0,0
0_1_4_43_1,1,0.0,1,0.0,0.0,1
0_1_4_43_2,0,0.0,2,1.0,1.0,1
0_1_4_43_3,0,0.0,3,2.0,1.0,1
0_1_4_43_4,0,0.0,4,3.0,1.0,0
0_1_4_43_5,1,0.0,5,1.0,-2.0,1
0_1_4_43_6,0,0.0,6,2.0,1.0,0
0_1_4_43_7,1,1.0,7,-1.0,-3.0,2
0_1_4_43_8,0,0.0,8,1.0,2.0,0
0_1_4_43_9,1,0.0,9,0.0,-1.0,1
0_2_1_43_1,1,0.0,1,0.0,0.0,1
0_2_1_43_2,0,0.0,2,1.0,1.0,0
0_2_1_43_3,1,0.0,3,0.0,-1.0,2
0_2_1_43_4,0,0.0,4,2.0,2.0,0
0_2_1_43_5,1,0.0,5,2.0,0.0,1
0_2_1_43_6,0,0.0,6,3.0,1.0,0
0_2_1_43_7,1,1.0,7,0.0,-3.0,2
0_2_1_43_8,0,0.0,8,2.0,2.0,0
0_2_1_46_1,0,0.0,1,0.0,0.0,0
0_2_1_46_2,1,0.0,2,-1.0,-1.0,1
0_2_1_46_3,0,0.0,3,0.0,1.0,0
0_2_1_46_4,1,0.0,4,-2.0,-2.0,0
0_2_1_46_5,0,0.0,5,-2.0,0.0,0
0_2_1_46_6,1,1.0,6,-3.0,-1.0,3
0_2_1_46_7,0,0.0,7,0.0,3.0,0
0_2_1_46_8,1,0.0,8,-2.0,-2.0,1
0_2_2_19_1,1,0.0,1,0.0,0.0,1
0_2_2_19_2,0,0.0,2,1.0,1.0,0
0_2_2_19_3,1,0.0,3,0.0,-1.0,0
0_2_2_19_4,1,0.0,4,-1.0,-1.0,1
0_2_2_19_5,0,0.0,5,0.0,1.0,1
0_2_2_19_6,0,0.0,6,1.0,1.0,0
0_2_2_19_7,1,1.0,7,-1.0,-2.0,2
0_2_2_19_8,0,0.0,8,1.0,2.0,2
0_2_2_22_1,0,0.0,1,0.0,0.0,0
0_2_2_22_2,1,0.0,2,-1.0,-1.0,1
0_2_2_22_3,0,0.0,3,0.0,1.0,1
0_2_2_22_4,0,0.0,4,1.0,1.0,0
0_2_2_22_5,1,0.0,5,0.0,-1.0,0
0_2_2_22_6,1,1.0,6,-1.0,-1.0,2
0_2_2_22_7,0,0.0,7,1.0,2.0,0
0_2_2_22_8,1,0.0,8,-1.0,-2.0,0
0_2_3_20_1,1,0.0,1,0.0,0.0,1
0_2_3_20_2,0,0.0,2,1.0,1.0,0
0_2_3_20_3,1,0.0,3,-3.0,-4.0,0
0_2_3_20_4,1,0.0,4,-4.0,-1.0,1
0_2_3_20_5,0,0.0,5,-3.0,1.0,1
0_2_3_20_6,0,0.0,6,-2.0,1.0,1
0_2_3_20_7,0,0.0,7,-1.0,1.0,0
0_2_3_20_8,1,1.0,8,-2.0,-1.0,0
0_2_3_24_1,0,0.0,1,0.0,0.0,0
0_2_3_24_2,1,0.0,2,-1.0,-1.0,4
0_2_3_24_3,0,0.0,3,3.0,4.0,1
0_2_3_24_4,0,0.0,4,4.0,1.0,0
0_2_3_24_5,1,0.0,5,3.0,-1.0,0
0_2_3_24_6,1,1.0,6,2.0,-1.0,0
0_2_3_24_7,1,0.0,7,1.0,-1.0,1
0_2_3_24_8,0,0.0,8,2.0,1.0,2
0_2_4_10_1,1,0.0,1,0.0,0.0,1
0_2_4_10_2,0,0.0,2,1.0,1.0,0
0_2_4_10_3,1,0.0,3,0.0,-1.0,0
0_2_4_10_4,1,0.0,4,-1.0,-1.0,1
0_2_4_10_5,0,0.0,5,0.0,1.0,0
0_2_4_10_6,1,1.0,6,-1.0,-1.0,2
0_2_4_10_7,0,0.0,7,1.0,2.0,0
0_2_4_10_8,1,0.0,8,-1.0,-2.0,0
0_2_4_27_1,0,0.0,1,0.0,0.0,0
0_2_4_27_2,1,0.0,2,-1.0,-1.0,1
0_2_4_27_3,0,0.0,3,0.0,1.0,1
0_2_4_27_4,0,0.0,4,1.0,1.0,0
0_2_4_27_5,1,0.0,5,0.0,-1.0,1
0_2_4_27_6,0,0.0,6,1.0,1.0,0
0_2_4_27_7,1,1.0,7,-1.0,-2.0,2
0_2_4_27_8,0,0.0,8,1.0,2.0,1
0_3_1_18_1,1,0.0,1,0.0,0.0,1
0_3_1_18_2,0,0.0,2,1.0,1.0,0
0_3_1_18_3,1,0.0,3,-2.0,-3.0,2
0_3_1_18_4,0,0.0,4,0.0,2.0,0
0_3_1_18_5,1,0.0,5,-1.0,-1.0,0
0_3_1_18_6,1,1.0,6,-2.0,-1.0,3
0_3_1_18_7,0,0.0,7,1.0,3.0,0
0_3_1_18_8,1,0.0,8,-1.0,-2.0,1
0_3_1_18_9,0,0.0,9,0.0,1.0,0
0_3_1_24_1,0,0.0,1,0.0,0.0,0
0_3_1_24_2,1,0.0,2,-1.0,-1.0,3
0_3_1_24_3,0,0.0,3,2.0,3.0,0
0_3_1_24_4,1,0.0,4,0.0,-2.0,1
0_3_1_24_5,0,0.0,5,1.0,1.0,1
0_3_1_24_6,0,0.0,6,2.0,1.0,0
0_3_1_24_7,1,1.0,7,-1.0,-3.0,2
0_3_1_24_8,0,0.0,8,1.0,2.0,0
0_3_1_24_9,1,0.0,9,0.0,-1.0,1
0_3_2_17_1,0,0.0,1,0.0,0.0,0
0_3_2_17_2,1,0.0,2,-1.0,-1.0,1
0_3_2_17_3,0,0.0,3,0.0,1.0,0
0_3_2_17_4,1,0.0,4,-2.0,-2.0,2
0_3_2_17_5,0,0.0,5,0.0,2.0,0
0_3_2_17_6,1,1.0,6,-3.0,-3.0,3
0_3_2_17_7,0,0.0,7,0.0,3.0,3
0_3_2_17_8,0,0.0,8,3.0,3.0,2
0_3_2_20_1,1,0.0,1,0.0,0.0,1
0_3_2_20_2,0,0.0,2,1.0,1.0,0
0_3_2_20_3,1,0.0,3,0.0,-1.0,2
0_3_2_20_4,0,0.0,4,2.0,2.0,0
0_3_2_20_5,1,0.0,5,0.0,-2.0,3
0_3_2_20_6,0,0.0,6,3.0,3.0,0
0_3_2_20_7,1,1.0,7,0.0,-3.0,0
0_3_2_20_8,1,0.0,8,-3.0,-3.0,0
0_46_1_19_1,0,0.0,1,0.0,0.0,0
0_46_1_19_2,1,0.0,2,-1.0,-1.0,0
0_46_1_19_3,1,0.0,3,-2.0,-1.0,0
0_46_1_19_4,1,1.0,4,-4.0,-2.0,0
0_46_1_19_5,1,0.0,5,-5.0,-1.0,0
0_46_1_19_6,1,0.0,6,-6.0,-1.0,1
0_46_1_19_7,0,0.0,7,-5.0,1.0,0
0_46_1_24_1,1,0.0,1,0.0,0.0,1
0_46_1_24_2,0,0.0,2,1.0,1.0,1
0_46_1_24_3,0,0.0,3,2.0,1.0,2
0_46_1_24_4,0,0.0,4,4.0,2.0,1
0_46_1_24_5,0,0.0,5,5.0,1.0,1
0_46_1_24_6,0,0.0,6,6.0,1.0,0
0_46_1_24_7,1,1.0,7,5.0,-1.0,2
0_46_2_17_1,1,0.0,1,0.0,0.0,0
0_46_2_17_2,1,0.0,2,-1.0,-1.0,1
0_46_2_17_3,0,0.0,3,0.0,1.0,0
0_46_2_17_4,1,0.0,4,-2.0,-2.0,1
0_46_2_17_5,0,0.0,5,-1.0,1.0,0
0_46_2_17_6,1,1.0,6,-2.0,-1.0,3
0_46_2_17_7,0,0.0,7,1.0,3.0,0
0_46_2_17_8,1,0.0,8,0.0,-1.0,1
0_46_2_27_1,0,0.0,1,0.0,0.0,1
0_46_2_27_2,0,0.0,2,1.0,1.0,0
0_46_2_27_3,1,0.0,3,0.0,-1.0,2
0_46_2_27_4,0,0.0,4,2.0,2.0,0
0_46_2_27_5,1,0.0,5,1.0,-1.0,1
0_46_2_27_6,0,0.0,6,2.0,1.0,0
0_46_2_27_7,1,1.0,7,-1.0,-3.0,1
0_46_2_27_8,0,0.0,8,0.0,1.0,0
0_48_1_19_1,0,0.0,1,0.0,0.0,0
0_48_1_19_2,1,0.0,2,-1.0,-1.0,4
0_48_1_19_3,0,0.0,3,3.0,4.0,3
0_48_1_19_4,0,0.0,4,6.0,3.0,1
0_48_1_19_5,0,0.0,5,7.0,1.0,1
0_48_1_19_6,0,0.0,6,8.0,1.0,0
0_48_1_27_1,1,0.0,1,0.0,0.0,1
0_48_1_27_2,0,0.0,2,1.0,1.0,0
0_48_1_27_3,1,0.0,3,-3.0,-4.0,0
0_48_1_27_4,1,0.0,4,-6.0,-3.0,0
0_48_1_27_5,1,1.0,5,-7.0,-1.0,0
0_48_1_27_6,1,0.0,6,-8.0,-1.0,2
0_49_1_17_1,0,0.0,1,0.0,0.0,2
0_49_1_17_2,0,0.0,2,2.0,2.0,0
0_49_1_17_3,1,0.0,3,0.0,-2.0,0
0_49_1_17_4,1,0.0,4,-1.0,-1.0,0
0_49_1_17_5,1,1.0,5,-4.0,-3.0,1
0_49_1_17_6,0,0.0,6,-3.0,1.0,0
0_49_1_17_7,1,0.0,7,-4.0,-1.0,2
0_49_1_17_8,0,0.0,8,-2.0,2.0,0
0_49_1_24_1,1,0.0,1,0.0,0.0,0
0_49_1_24_2,1,0.0,2,-2.0,-2.0,2
0_49_1_24_3,0,0.0,3,0.0,2.0,1
0_49_1_24_4,0,0.0,4,1.0,1.0,3
0_49_1_24_5,0,0.0,5,4.0,3.0,0
0_49_1_24_6,1,0.0,6,3.0,-1.0,1
0_49_1_24_7,0,0.0,7,4.0,1.0,0
0_49_1_24_8,1,1.0,8,2.0,-2.0,1
0_4_1_10_1,0,0.0,1,0.0,0.0,0
0_4_1_10_2,1,0.0,2,-2.0,-2.0,4
0_4_1_10_3,0,0.0,3,2.0,4.0,0
0_4_1_10_4,1,0.0,4,1.0,-1.0,1
0_4_1_10_5,0,0.0,5,2.0,1.0,0
0_4_1_10_6,1,0.0,6,0.0,-2.0,1
0_4_1_10_7,0,0.0,7,1.0,1.0,0
0_4_1_10_8,1,1.0,8,0.0,-1.0,1
0_4_1_17_1,1,0.0,1,0.0,0.0,2
0_4_1_17_2,0,0.0,2,2.0,2.0,0
0_4_1_17_3,1,0.0,3,-2.0,-4.0,1
0_4_1_17_4,0,0.0,4,-1.0,1.0,0
0_4_1_17_5,1,0.0,5,-2.0,-1.0,2
0_4_1_17_6,0,0.0,6,0.0,2.0,0
0_4_1_17_7,1,1.0,7,-1.0,-1.0,1
0_4_1_17_8,0,0.0,8,0.0,1.0,0
0_4_2_18_1,0,0.0,1,0.0,0.0,0
0_4_2_18_2,1,0.0,2,-1.0,-1.0,3
0_4_2_18_3,0,0.0,3,2.0,3.0,0
0_4_2_18_4,1,0.0,4,0.0,-2.0,3
0_4_2_18_5,0,0.0,5,3.0,3.0,0
0_4_2_18_6,1,0.0,6,2.0,-1.0,1
0_4_2_18_7,0,0.0,7,3.0,1.0,0
0_4_2_18_8,1,0.0,8,0.0,-3.0,1
0_4_2_27_1,1,0.0,1,0.0,0.0,1
0_4_2_27_2,0,0.0,2,1.0,1.0,0
0_4_2_27_3,1,0.0,3,-2.0,-3.0,2
0_4_2_27_4,0,0.0,4,0.0,2.0,0
0_4_2_27_5,1,0.0,5,-3.0,-3.0,1
